,timestamps,PLETH,SPO2
42138,2022-10-03 03:46:38.380,52797,97
42139,2022-10-03 03:46:38.390,55950,97
42140,2022-10-03 03:46:38.400,58408,97
42141,2022-10-03 03:46:38.410,60128,97
42142,2022-10-03 03:46:38.420,61114,97
42143,2022-10-03 03:46:38.430,61379,97
42144,2022-10-03 03:46:38.440,60981,97
42145,2022-10-03 03:46:38.450,59975,97
42146,2022-10-03 03:46:38.460,58438,97
42147,2022-10-03 03:46:38.470,56468,97
42148,2022-10-03 03:46:38.480,54151,97
42149,2022-10-03 03:46:38.490,51588,97
42150,2022-10-03 03:46:38.500,48871,97
42151,2022-10-03 03:46:38.510,46088,97
42152,2022-10-03 03:46:38.520,43333,97
42153,2022-10-03 03:46:38.530,40679,97
42154,2022-10-03 03:46:38.540,38183,97
42155,2022-10-03 03:46:38.550,35897,97
42156,2022-10-03 03:46:38.560,33842,97
42157,2022-10-03 03:46:38.570,32047,97
42158,2022-10-03 03:46:38.580,30501,97
42159,2022-10-03 03:46:38.590,29202,97
42160,2022-10-03 03:46:38.600,28118,97
42161,2022-10-03 03:46:38.610,27219,97
42162,2022-10-03 03:46:38.620,26462,97
42163,2022-10-03 03:46:38.630,25812,97
42164,2022-10-03 03:46:38.640,25224,97
42165,2022-10-03 03:46:38.650,24656,97
42166,2022-10-03 03:46:38.660,24077,97
42167,2022-10-03 03:46:38.670,23453,97
42168,2022-10-03 03:46:38.680,22778,97
42169,2022-10-03 03:46:38.690,22021,97
42170,2022-10-03 03:46:38.700,21187,97
42171,2022-10-03 03:46:38.710,20270,97
42172,2022-10-03 03:46:38.720,19275,97
42173,2022-10-03 03:46:38.730,18213,97
42174,2022-10-03 03:46:38.740,17101,97
42175,2022-10-03 03:46:38.750,15945,97
42176,2022-10-03 03:46:38.760,14772,97
42177,2022-10-03 03:46:38.770,13587,97
42178,2022-10-03 03:46:38.780,12408,97
42179,2022-10-03 03:46:38.790,11246,97
42180,2022-10-03 03:46:38.800,10117,97
42181,2022-10-03 03:46:38.810,9038,97
42182,2022-10-03 03:46:38.820,8020,97
42183,2022-10-03 03:46:38.830,7091,97
42184,2022-10-03 03:46:38.840,6322,97
42185,2022-10-03 03:46:38.850,5812,97
42186,2022-10-03 03:46:38.860,5703,97
42187,2022-10-03 03:46:38.870,6149,97
42188,2022-10-03 03:46:38.880,7291,97
42189,2022-10-03 03:46:38.890,9227,97
42190,2022-10-03 03:46:38.900,11992,97
42191,2022-10-03 03:46:38.910,15566,97
42192,2022-10-03 03:46:38.920,19846,97
42193,2022-10-03 03:46:38.930,24700,97
42194,2022-10-03 03:46:38.940,29937,97
42195,2022-10-03 03:46:38.950,35342,97
42196,2022-10-03 03:46:38.960,40698,97
42197,2022-10-03 03:46:38.970,45805,97
42198,2022-10-03 03:46:38.980,50462,97
42199,2022-10-03 03:46:38.990,54532,97
42200,2022-10-03 03:46:39.000,57888,97
42201,2022-10-03 03:46:39.010,60463,97
42202,2022-10-03 03:46:39.020,62233,97
42203,2022-10-03 03:46:39.030,62258,97
42204,2022-10-03 03:46:39.040,62258,97
42205,2022-10-03 03:46:39.050,61766,97
42206,2022-10-03 03:46:39.060,60664,97
42207,2022-10-03 03:46:39.070,59041,97
42208,2022-10-03 03:46:39.080,57001,97
42209,2022-10-03 03:46:39.090,54637,97
42210,2022-10-03 03:46:39.100,52064,97
42211,2022-10-03 03:46:39.110,49373,97
42212,2022-10-03 03:46:39.120,46664,97
42213,2022-10-03 03:46:39.130,44022,97
42214,2022-10-03 03:46:39.140,41520,97
42215,2022-10-03 03:46:39.150,39218,97
42216,2022-10-03 03:46:39.160,37152,97
42217,2022-10-03 03:46:39.170,35345,97
42218,2022-10-03 03:46:39.180,33814,97
42219,2022-10-03 03:46:39.190,32539,97
42220,2022-10-03 03:46:39.200,31503,97
42221,2022-10-03 03:46:39.210,30666,97
42222,2022-10-03 03:46:39.220,29989,97
42223,2022-10-03 03:46:39.230,29426,97
42224,2022-10-03 03:46:39.240,28937,97
42225,2022-10-03 03:46:39.250,28469,97
42226,2022-10-03 03:46:39.260,27988,97
42227,2022-10-03 03:46:39.270,27445,97
42228,2022-10-03 03:46:39.280,26829,97
