,timestamps,PLETH,SPO2
39000,2022-10-03 03:46:07.000,28777,98
39001,2022-10-03 03:46:07.010,27877,98
39002,2022-10-03 03:46:07.020,26839,98
39003,2022-10-03 03:46:07.030,25675,98
39004,2022-10-03 03:46:07.040,24396,98
39005,2022-10-03 03:46:07.050,23009,98
39006,2022-10-03 03:46:07.060,21539,98
39007,2022-10-03 03:46:07.070,20011,98
39008,2022-10-03 03:46:07.080,18444,98
39009,2022-10-03 03:46:07.090,16868,98
39010,2022-10-03 03:46:07.100,15311,98
39011,2022-10-03 03:46:07.110,13802,98
39012,2022-10-03 03:46:07.120,12387,98
39013,2022-10-03 03:46:07.130,11140,98
39014,2022-10-03 03:46:07.140,10162,98
39015,2022-10-03 03:46:07.150,9615,98
39016,2022-10-03 03:46:07.160,9668,98
39017,2022-10-03 03:46:07.170,10476,98
39018,2022-10-03 03:46:07.180,12133,98
39019,2022-10-03 03:46:07.190,14685,98
39020,2022-10-03 03:46:07.200,18088,98
39021,2022-10-03 03:46:07.210,22254,98
39022,2022-10-03 03:46:07.220,27019,98
39023,2022-10-03 03:46:07.230,32175,98
39024,2022-10-03 03:46:07.240,37514,98
39025,2022-10-03 03:46:07.250,42793,98
39026,2022-10-03 03:46:07.260,47796,98
39027,2022-10-03 03:46:07.270,52324,98
39028,2022-10-03 03:46:07.280,56237,98
39029,2022-10-03 03:46:07.290,59414,98
39030,2022-10-03 03:46:07.300,61789,98
39031,2022-10-03 03:46:07.310,62258,98
39032,2022-10-03 03:46:07.320,62258,98
39033,2022-10-03 03:46:07.330,62163,98
39034,2022-10-03 03:46:07.340,61517,98
39035,2022-10-03 03:46:07.350,60298,98
39036,2022-10-03 03:46:07.360,58594,98
39037,2022-10-03 03:46:07.370,56501,98
39038,2022-10-03 03:46:07.380,54113,98
39039,2022-10-03 03:46:07.390,51524,98
39040,2022-10-03 03:46:07.400,48832,98
39041,2022-10-03 03:46:07.410,46127,98
39042,2022-10-03 03:46:07.420,43496,98
39043,2022-10-03 03:46:07.430,41014,98
39044,2022-10-03 03:46:07.440,38736,98
39045,2022-10-03 03:46:07.450,36715,98
39046,2022-10-03 03:46:07.460,34982,98
39047,2022-10-03 03:46:07.470,33543,98
39048,2022-10-03 03:46:07.480,32399,98
39049,2022-10-03 03:46:07.490,31529,98
39050,2022-10-03 03:46:07.500,30898,98
39051,2022-10-03 03:46:07.510,30464,98
39052,2022-10-03 03:46:07.520,30181,98
39053,2022-10-03 03:46:07.530,29988,98
39054,2022-10-03 03:46:07.540,29831,98
39055,2022-10-03 03:46:07.550,29654,98
39056,2022-10-03 03:46:07.560,29417,98
39057,2022-10-03 03:46:07.570,29074,98
39058,2022-10-03 03:46:07.580,28601,98
39059,2022-10-03 03:46:07.590,27974,98
39060,2022-10-03 03:46:07.600,27178,98
39061,2022-10-03 03:46:07.610,26208,98
39062,2022-10-03 03:46:07.620,25081,98
39063,2022-10-03 03:46:07.630,23821,98
39064,2022-10-03 03:46:07.640,22441,98
39065,2022-10-03 03:46:07.650,20972,98
39066,2022-10-03 03:46:07.660,19438,98
39067,2022-10-03 03:46:07.670,17878,98
39068,2022-10-03 03:46:07.680,16323,98
39069,2022-10-03 03:46:07.690,14798,98
39070,2022-10-03 03:46:07.700,13335,98
39071,2022-10-03 03:46:07.710,11952,98
39072,2022-10-03 03:46:07.720,10682,98
39073,2022-10-03 03:46:07.730,9544,98
39074,2022-10-03 03:46:07.740,8568,98
39075,2022-10-03 03:46:07.750,7812,98
39076,2022-10-03 03:46:07.760,7380,98
39077,2022-10-03 03:46:07.770,7430,98
39078,2022-10-03 03:46:07.780,8096,98
39079,2022-10-03 03:46:07.790,9499,98
39080,2022-10-03 03:46:07.800,11731,98
39081,2022-10-03 03:46:07.810,14800,98
39082,2022-10-03 03:46:07.820,18640,98
39083,2022-10-03 03:46:07.830,23130,98
39084,2022-10-03 03:46:07.840,28114,98
39085,2022-10-03 03:46:07.850,33371,98
39086,2022-10-03 03:46:07.860,38685,98
39087,2022-10-03 03:46:07.870,43836,98
39088,2022-10-03 03:46:07.880,48616,98
39089,2022-10-03 03:46:07.890,52850,98
39090,2022-10-03 03:46:07.900,56401,98
39091,2022-10-03 03:46:07.910,59184,98
39092,2022-10-03 03:46:07.920,61135,98
39093,2022-10-03 03:46:07.930,62255,98
39094,2022-10-03 03:46:07.940,62258,98
39095,2022-10-03 03:46:07.950,61826,98
39096,2022-10-03 03:46:07.960,60721,98
39097,2022-10-03 03:46:07.970,59029,98
39098,2022-10-03 03:46:07.980,56864,98
39099,2022-10-03 03:46:07.990,54338,98
39100,2022-10-03 03:46:08.000,51568,98
39101,2022-10-03 03:46:08.010,48659,98
39102,2022-10-03 03:46:08.020,45729,98
39103,2022-10-03 03:46:08.030,42877,98
39104,2022-10-03 03:46:08.040,40195,98
39105,2022-10-03 03:46:08.050,37765,98
39106,2022-10-03 03:46:08.060,35618,98
39107,2022-10-03 03:46:08.070,33799,98
39108,2022-10-03 03:46:08.080,32310,98
39109,2022-10-03 03:46:08.090,31152,98
39110,2022-10-03 03:46:08.100,30302,98
39111,2022-10-03 03:46:08.110,29711,98
39112,2022-10-03 03:46:08.120,29328,98
39113,2022-10-03 03:46:08.130,29072,98
39114,2022-10-03 03:46:08.140,28906,98
39115,2022-10-03 03:46:08.150,28745,98
39116,2022-10-03 03:46:08.160,28551,98
39117,2022-10-03 03:46:08.170,28273,98
39118,2022-10-03 03:46:08.180,27859,98
39119,2022-10-03 03:46:08.190,27295,98
39120,2022-10-03 03:46:08.200,26561,98
39121,2022-10-03 03:46:08.210,25662,98
39122,2022-10-03 03:46:08.220,24606,98
39123,2022-10-03 03:46:08.230,23417,98
39124,2022-10-03 03:46:08.240,22115,98
39125,2022-10-03 03:46:08.250,20739,98
39126,2022-10-03 03:46:08.260,19328,98
39127,2022-10-03 03:46:08.270,17902,98
39128,2022-10-03 03:46:08.280,16515,98
39129,2022-10-03 03:46:08.290,15179,98
39130,2022-10-03 03:46:08.300,13927,98
39131,2022-10-03 03:46:08.310,12767,98
39132,2022-10-03 03:46:08.320,11726,98
39133,2022-10-03 03:46:08.330,10789,98
39134,2022-10-03 03:46:08.340,9964,98
39135,2022-10-03 03:46:08.350,9252,98
39136,2022-10-03 03:46:08.360,8652,98
39137,2022-10-03 03:46:08.370,8196,98
39138,2022-10-03 03:46:08.380,7945,98
39139,2022-10-03 03:46:08.390,8010,98
39140,2022-10-03 03:46:08.400,8561,98
39141,2022-10-03 03:46:08.410,9736,98
39142,2022-10-03 03:46:08.420,11667,98
39143,2022-10-03 03:46:08.430,14427,98
39144,2022-10-03 03:46:08.440,18000,98
39145,2022-10-03 03:46:08.450,22309,98
39146,2022-10-03 03:46:08.460,27229,98
39147,2022-10-03 03:46:08.470,32568,98
39148,2022-10-03 03:46:08.480,38099,98
39149,2022-10-03 03:46:08.490,43592,98
39150,2022-10-03 03:46:08.500,48821,98
39151,2022-10-03 03:46:08.510,53580,98
39152,2022-10-03 03:46:08.520,57705,98
39153,2022-10-03 03:46:08.530,61067,98
39154,2022-10-03 03:46:08.540,62258,98
